lot_id,produced_at,plant_code,line_id,shift,product,fill_error,cap_torque,seal_temp,line_speed,ambient_temp,ambient_humidity,result
L00001,2026-04-01 06:45,P-SEOUL-01,F-3,주간,1L,0.06,2.22,179.3,393,18.8,61.8,합격
L00002,2026-04-01 06:54,P-SEOUL-01,F-3,주간,1L,0.2,2.27,181.8,408,27.5,51.9,합격
L00003,2026-04-01 07:23,P-SEOUL-01,F-1,주간,1L,1.85,2.17,180.4,390,24.2,53.3,합격
L00004,2026-04-01 08:26,P-SEOUL-01,F-1,주간,2L,0.66,1.88,178.7,414,23.9,46.5,합격
L00005,2026-04-01 08:27,P-SEOUL-01,F-1,주간,2L,-0.17,2.22,181.0,403,21.7,53.7,합격
L00006,2026-04-01 09:03,P-SEOUL-01,F-1,주간,1L,-0.77,1.95,181.8,399,22.6,53.8,합격
L00007,2026-04-01 09:19,P-SEOUL-01,F-2,주간,500mL,0.99,1.92,179.9,413,28.2,39.8,합격
L00008,2026-04-01 09:33,P-SEOUL-01,F-1,주간,500mL,1.88,1.99,180.0,398,24.3,,합격
L00009,2026-04-01 09:47,P-SEOUL-01,F-1,주간,2L,0.32,2.02,179.4,396,28.4,69.3,재검
L00010,2026-04-01 10:02,P-SEOUL-01,F-1,주간,500mL,-0.49,2.16,182.0,372,23.2,48.8,합격
L00011,2026-04-01 10:13,P-SEOUL-01,F-1,주간,2L,-0.05,2.14,182.6,410,24.0,61.3,합격
L00012,2026-04-01 10:57,P-SEOUL-01,F-2,주간,1L,-0.03,2.14,179.7,402,21.5,41.5,합격
L00013,2026-04-01 11:19,P-SEOUL-01,F-2,주간,2L,-0.25,2.34,179.8,393,25.6,54.2,합격
L00014,2026-04-01 11:35,P-SEOUL-01,F-3,주간,500mL,-0.97,2.11,178.0,397,31.4,51.5,합격
L00015,2026-04-01 13:12,P-SEOUL-01,F-2,주간,1L,1.49,2.13,178.2,409,28.5,50.8,합격
L00016,2026-04-01 13:56,P-SEOUL-01,F-1,주간,1L,0.02,2.05,177.8,415,25.8,59.6,합격
L00017,2026-04-01 14:53,P-SEOUL-01,F-1,오후,1L,-0.49,2.15,179.6,415,18.2,62.2,합격
L00018,2026-04-01 15:11,P-SEOUL-01,F-2,오후,500mL,-0.23,2.21,179.1,397,23.8,49.0,합격
L00019,2026-04-01 15:23,P-SEOUL-01,F-2,오후,500mL,-1.12,2.2,177.7,402,25.2,44.3,합격
L00020,2026-04-01 15:34,P-SEOUL-01,F-3,오후,1L,0.53,2.21,180.0,380,28.2,60.2,합격
L00021,2026-04-01 15:47,P-SEOUL-01,F-2,오후,1L,0.62,2.07,180.0,388,28.9,60.5,합격
L00022,2026-04-01 16:43,P-SEOUL-01,F-1,오후,500mL,-0.79,2.18,182.1,390,17.1,53.3,합격
L00023,2026-04-01 16:58,P-SEOUL-01,F-1,오후,500mL,-0.74,1.87,179.2,397,17.9,,합격
L00024,2026-04-01 17:19,P-SEOUL-01,F-1,오후,2L,-1.05,1.99,182.5,418,28.5,58.1,합격
L00025,2026-04-01 17:27,P-SEOUL-01,F-2,오후,2L,0.4,2.21,181.2,402,26.1,55.7,합격
L00026,2026-04-01 17:28,P-SEOUL-01,F-2,오후,1L,-1.04,2.06,178.5,420,26.8,57.0,합격
L00027,2026-04-01 17:28,P-SEOUL-01,F-1,오후,2L,-0.61,2.03,181.3,405,26.5,49.5,합격
L00028,2026-04-01 17:48,P-SEOUL-01,F-2,오후,1L,-0.44,1.98,180.8,399,27.1,46.6,합격
L00029,2026-04-01 18:03,P-SEOUL-01,F-1,오후,500mL,1.2,2.12,179.9,400,26.9,56.3,합격
L00030,2026-04-01 18:08,P-SEOUL-01,F-1,오후,2L,-1.37,1.96,183.4,407,24.1,44.2,합격
L00031,2026-04-01 19:36,P-SEOUL-01,F-1,오후,1L,-0.46,2.13,180.9,386,23.2,49.5,합격
L00032,2026-04-01 20:10,P-SEOUL-01,F-2,오후,1L,-2.46,2.25,180.2,389,23.8,48.8,합격
L00033,2026-04-01 20:13,P-SEOUL-01,F-1,오후,500mL,0.03,2.06,178.2,401,24.5,45.3,합격
L00034,2026-04-01 20:24,P-SEOUL-01,F-1,오후,1L,0.55,2.06,180.2,408,27.5,48.7,합격
L00035,2026-04-01 20:59,P-SEOUL-01,F-1,오후,500mL,0.53,,183.2,400,26.1,46.6,합격
L00036,2026-04-01 21:13,P-SEOUL-01,F-2,오후,1L,0.18,2.19,182.3,406,22.7,45.2,합격
L00037,2026-04-01 21:24,P-SEOUL-01,F-1,오후,500mL,0.58,1.83,179.1,396,16.0,51.1,합격
L00038,2026-04-01 21:50,P-SEOUL-01,F-2,오후,500mL,1.8,2.33,176.6,387,23.3,53.9,합격
L00039,2026-04-01 21:52,P-SEOUL-01,F-1,오후,500mL,-1.02,2.02,178.5,385,31.8,61.4,합격
L00040,2026-04-01 22:29,P-SEOUL-01,F-2,야간,1L,-0.16,1.99,178.0,406,25.6,43.8,합격
L00041,2026-04-01 23:14,P-SEOUL-01,F-3,야간,1L,-0.32,1.9,177.0,389,28.9,37.3,합격
L00042,2026-04-01 23:36,P-SEOUL-01,F-1,야간,500mL,0.29,2.24,177.0,401,21.8,56.2,합격
L00043,2026-04-01 23:40,P-SEOUL-01,F-2,야간,1L,-0.18,2.06,178.6,397,23.3,53.0,합격
L00044,2026-04-01 23:58,P-SEOUL-01,F-2,야간,500mL,-1.66,2.37,180.8,388,23.2,60.8,합격
L00045,2026-04-02 00:08,P-SEOUL-01,F-1,야간,500mL,-0.34,1.92,182.2,377,24.0,62.2,합격
L00046,2026-04-02 00:16,P-SEOUL-01,F-2,야간,1L,-1.19,2.16,179.1,415,23.9,49.3,합격
L00047,2026-04-02 00:46,P-SEOUL-01,F-2,야간,500mL,0.38,2.32,180.7,391,24.8,58.8,합격
L00048,2026-04-02 02:12,P-SEOUL-01,F-1,야간,1L,-0.23,2.28,176.4,385,15.7,63.0,합격
L00049,2026-04-02 02:20,P-SEOUL-01,F-3,야간,500mL,-1.05,1.92,180.3,402,22.8,67.2,합격
L00050,2026-04-02 02:31,P-SEOUL-01,F-2,야간,2L,1.87,2.09,177.6,375,27.4,47.7,합격
L00051,2026-04-02 02:43,P-SEOUL-01,F-3,야간,500mL,-0.29,2.1,182.1,410,17.7,50.4,합격
L00052,2026-04-02 02:47,P-SEOUL-01,F-1,야간,2L,-1.2,1.91,177.1,397,29.2,49.9,합격
L00053,2026-04-02 03:03,P-SEOUL-01,F-2,야간,2L,-0.76,2.12,179.7,397,31.3,32.7,합격
L00054,2026-04-02 03:08,P-SEOUL-01,F-1,야간,1L,-0.61,1.79,182.0,398,19.9,58.6,합격
L00055,2026-04-02 03:30,P-SEOUL-01,F-2,야간,500mL,0.32,,178.1,396,19.8,54.0,합격
L00056,2026-04-02 03:49,P-SEOUL-01,F-1,야간,500mL,-0.05,2.0,181.4,410,30.5,56.0,합격
L00057,2026-04-02 03:59,P-SEOUL-01,F-1,야간,500mL,-1.49,2.12,183.2,428,27.8,51.9,합격
L00058,2026-04-02 05:44,P-SEOUL-01,F-1,야간,1L,-2.21,2.17,182.1,396,24.5,55.5,합격
L00059,2026-04-02 05:54,P-SEOUL-01,F-1,야간,500mL,1.91,2.15,180.9,401,26.8,49.5,합격
L00060,2026-04-02 06:06,P-SEOUL-01,F-3,주간,1L,-0.64,2.08,179.3,401,25.7,59.6,합격
