cell_id,inspected_at,line,shift,open_voltage_V,capacity_mAh,internal_resistance_mOhm,thickness_mm,weight_g,charge_time_min,chamber_temp_C,chamber_humidity_pct,inspector,result
CELL-00001,2026-03-02 09:01,B라인,주간,3.679,4957.2,20.71,11.072,69.53,73.5,27.1,41.1,한서린,합격
CELL-00002,2026-03-02 09:52,B라인,야간,3.662,4821.1,18.68,10.876,72.42,80.1,24.7,46.3,박정민,합격
CELL-00003,2026-03-02 10:35,B라인,주간,3.585,4769.6,21.58,11.126,70.21,74.3,23.3,40.1,한서린,합격
CELL-00004,2026-03-02 12:08,B라인,주간,3.719,5092.1,21.24,10.862,70.85,57.0,26.3,46.6,한서린,합격
CELL-00005,2026-03-02 12:21,B라인,주간,3.638,4814.8,15.06,10.897,69.72,63.0,24.0,52.0,박정민,합격
CELL-00006,2026-03-02 13:27,C라인,주간,3.667,4855.1,31.3,10.992,69.7,72.0,23.9,43.0,이하영,불합격
CELL-00007,2026-03-02 13:41,C라인,야간,3.711,5162.3,24.53,11.117,71.12,69.2,21.1,,이하영,합격
CELL-00008,2026-03-02 16:21,B라인,주간,3.685,4935.9,21.14,10.763,68.51,84.4,24.7,41.9,김수현,합격
CELL-00009,2026-03-02 16:24,B라인,주간,3.742,4878.5,17.76,11.065,70.18,74.6,23.7,36.9,박정민,합격
CELL-00010,2026-03-02 18:01,A라인,주간,3.687,4999.4,23.91,10.836,71.09,76.7,20.1,33.8,박정민,합격
CELL-00011,2026-03-02 19:09,A라인,주간,3.64,5017.5,13.52,11.13,70.3,71.5,22.7,63.9,이하영,합격
CELL-00012,2026-03-02 19:30,A라인,주간,3.606,5021.1,23.55,10.964,69.54,66.4,26.0,49.4,박정민,합격
CELL-00013,2026-03-02 19:56,A라인,주간,3.642,4841.6,21.44,11.034,70.45,61.2,,65.3,박정민,합격
CELL-00014,2026-03-02 20:23,B라인,야간,3.727,5176.5,24.78,11.184,71.92,69.8,22.5,43.0,정우석,합격
CELL-00015,2026-03-02 21:11,A라인,주간,3.658,4984.0,20.27,10.913,68.88,61.7,24.6,31.6,정우석,합격
CELL-00016,2026-03-02 21:20,A라인,주간,3.669,4996.3,26.32,11.15,70.1,70.8,22.3,42.7,김수현,합격
CELL-00017,2026-03-02 22:58,B라인,주간,3.696,4916.8,20.86,11.045,71.44,84.5,23.6,42.5,정우석,합격
CELL-00018,2026-03-03 02:28,B라인,주간,3.708,4969.7,18.3,11.182,70.31,72.2,24.3,47.2,이하영,합격
CELL-00019,2026-03-03 06:29,A라인,주간,3.662,4928.1,17.61,11.041,69.75,66.5,23.8,48.0,정우석,합격
CELL-00020,2026-03-03 06:42,A라인,야간,3.679,4887.8,20.1,10.876,71.46,76.8,24.1,30.2,김수현,합격
CELL-00021,2026-03-03 07:40,A라인,주간,3.684,4795.3,19.84,11.025,70.28,69.0,23.7,55.1,이하영,합격
CELL-00022,2026-03-03 07:41,C라인,야간,3.671,4986.5,22.19,10.934,68.95,73.1,21.9,36.7,한서린,합격
CELL-00023,2026-03-03 07:41,C라인,야간,3.648,5012.3,29.33,10.908,70.08,71.5,22.7,46.3,이하영,합격
CELL-00024,2026-03-03 08:19,A라인,주간,3.723,5048.7,20.96,11.282,70.71,72.7,22.8,55.0,김수현,합격
CELL-00025,2026-03-03 10:08,C라인,주간,3.663,4958.6,24.58,10.892,71.89,71.5,25.6,49.8,한서린,합격
CELL-00026,2026-03-03 13:59,B라인,주간,3.677,4912.0,26.2,11.046,70.11,74.9,28.6,59.4,박정민,합격
CELL-00027,2026-03-03 14:34,B라인,주간,3.649,4813.2,21.66,11.253,70.3,84.3,21.0,23.8,김수현,합격
CELL-00028,2026-03-03 14:59,A라인,주간,3.649,5135.7,17.45,11.318,70.03,59.2,25.8,57.6,박정민,합격
CELL-00029,2026-03-03 15:14,A라인,주간,3.699,4840.5,21.66,11.012,70.0,72.7,27.8,54.1,한서린,합격
CELL-00030,2026-03-03 18:26,A라인,주간,3.708,4668.1,22.7,10.696,70.67,77.7,24.1,44.3,김수현,불합격
CELL-00031,2026-03-03 19:31,A라인,야간,3.7,4697.3,17.57,11.009,69.21,81.7,24.3,31.7,김수현,합격
CELL-00032,2026-03-03 19:38,A라인,야간,3.634,4861.1,22.36,10.884,71.37,72.3,20.5,42.5,한서린,합격
CELL-00033,2026-03-03 21:50,B라인,주간,3.691,4943.3,15.53,11.11,68.05,72.8,25.6,38.5,박정민,합격
CELL-00034,2026-03-03 21:56,C라인,주간,3.648,4944.7,21.49,10.887,71.32,67.5,22.9,,한서린,합격
CELL-00035,2026-03-03 22:49,B라인,주간,3.713,4983.3,23.62,11.202,69.92,74.6,25.6,35.6,한서린,합격
CELL-00036,2026-03-03 23:38,C라인,주간,3.727,4808.5,28.66,11.095,70.79,74.0,23.4,43.7,김수현,합격
CELL-00037,2026-03-04 00:45,B라인,주간,3.654,4695.9,27.04,11.209,70.63,75.7,22.9,53.8,박정민,합격
CELL-00038,2026-03-04 00:55,A라인,주간,3.734,4796.7,20.53,10.801,71.25,74.9,23.7,41.8,김수현,합격
CELL-00039,2026-03-04 01:02,B라인,야간,3.723,4818.5,18.68,10.921,71.48,69.6,23.7,50.2,정우석,합격
CELL-00040,2026-03-04 01:07,A라인,주간,3.655,4895.2,20.39,10.927,69.24,64.8,,51.8,이하영,합격
CELL-00041,2026-03-04 02:21,A라인,주간,3.686,4971.9,25.8,11.241,69.47,62.4,21.9,51.1,한서린,합격
CELL-00042,2026-03-04 02:41,B라인,주간,3.709,4844.9,23.14,10.918,71.0,73.4,24.8,34.2,정우석,합격
CELL-00043,2026-03-04 03:15,A라인,주간,3.715,4840.7,13.78,11.257,70.25,66.0,27.7,54.0,한서린,합격
CELL-00044,2026-03-04 03:31,A라인,주간,3.665,4920.7,14.69,11.062,70.73,75.0,24.0,53.0,박정민,합격
CELL-00045,2026-03-04 03:41,A라인,주간,3.704,5008.0,18.05,11.228,71.94,64.4,24.1,47.1,한서린,합격
CELL-00046,2026-03-04 04:57,A라인,주간,3.708,5151.7,23.56,10.96,70.0,64.4,23.4,40.4,박정민,합격
CELL-00047,2026-03-04 06:52,B라인,주간,3.658,4928.7,23.83,10.898,69.77,62.1,22.9,41.1,정우석,합격
CELL-00048,2026-03-04 07:45,A라인,주간,3.706,4824.8,26.65,10.725,68.62,80.6,23.0,55.1,한서린,합격
CELL-00049,2026-03-04 08:39,A라인,주간,3.693,4976.6,21.44,11.083,69.91,68.2,25.8,,이하영,합격
CELL-00050,2026-03-04 10:34,C라인,야간,3.678,4937.2,22.97,11.151,71.34,60.3,18.0,38.0,김수현,합격
CELL-00051,2026-03-04 10:53,B라인,주간,3.713,5043.1,24.05,11.131,70.55,64.7,26.7,55.0,한서린,합격
CELL-00052,2026-03-04 11:37,B라인,야간,3.669,4873.5,20.81,11.058,71.33,66.8,,41.2,박정민,합격
CELL-00053,2026-03-04 11:47,C라인,야간,3.698,5121.1,19.79,10.84,71.35,64.5,19.8,44.2,한서린,합격
CELL-00054,2026-03-04 11:55,B라인,주간,3.726,4846.7,18.64,11.368,70.46,70.0,23.3,35.2,박정민,합격
CELL-00055,2026-03-04 14:24,A라인,야간,3.717,4808.6,13.42,10.771,70.61,66.1,20.1,32.0,김수현,합격
CELL-00056,2026-03-04 15:31,C라인,주간,3.718,4958.3,22.79,11.19,70.83,60.6,22.0,38.1,김수현,합격
CELL-00057,2026-03-04 15:59,C라인,야간,3.68,5039.3,18.23,11.429,70.03,71.3,23.6,49.9,이하영,합격
CELL-00058,2026-03-04 17:26,B라인,야간,3.645,4758.9,12.25,10.936,69.46,72.3,22.3,48.1,김수현,합격
CELL-00059,2026-03-04 22:02,A라인,야간,3.659,4887.6,18.42,11.011,72.44,65.8,24.5,40.6,김수현,합격
CELL-00060,2026-03-05 00:22,C라인,주간,3.711,5071.0,14.07,10.951,69.85,71.6,25.1,40.6,정우석,합격
CELL-00061,2026-03-05 06:31,A라인,야간,3.713,4723.8,18.16,11.119,70.78,63.5,21.8,36.4,이하영,합격
CELL-00062,2026-03-05 06:51,A라인,주간,3.7,4962.3,24.98,11.283,72.44,74.6,21.6,39.8,김수현,합격
CELL-00063,2026-03-05 08:09,B라인,야간,3.654,4729.3,19.65,10.86,71.95,55.4,23.0,58.2,박정민,합격
CELL-00064,2026-03-05 10:31,A라인,야간,3.684,5050.2,19.73,10.97,70.16,77.1,22.2,40.4,김수현,합격
CELL-00065,2026-03-05 10:46,C라인,주간,3.727,4865.3,25.25,10.626,70.08,64.6,26.3,29.2,한서린,합격
CELL-00066,2026-03-05 13:15,B라인,주간,3.709,5073.2,27.98,11.367,69.59,80.4,22.7,44.7,박정민,합격
CELL-00067,2026-03-05 13:22,A라인,주간,3.631,4930.8,19.89,11.215,69.94,75.5,22.0,41.9,정우석,합격
CELL-00068,2026-03-05 13:25,C라인,주간,3.589,4966.7,24.08,11.033,69.26,64.4,21.0,34.5,김수현,합격
CELL-00069,2026-03-05 14:40,C라인,야간,3.725,4926.3,22.54,10.585,70.14,65.8,25.7,33.9,정우석,합격
CELL-00070,2026-03-05 16:28,A라인,야간,3.674,5156.3,18.02,10.935,68.72,67.5,21.8,47.9,김수현,합격
CELL-00071,2026-03-05 18:20,B라인,주간,3.679,4964.5,25.31,11.126,69.0,66.2,24.7,34.3,정우석,합격
CELL-00072,2026-03-05 19:00,A라인,주간,3.642,4929.9,25.0,10.906,69.46,70.7,22.8,39.6,정우석,합격
CELL-00073,2026-03-05 19:00,B라인,주간,3.766,4895.9,23.19,10.986,70.31,75.4,23.3,41.0,김수현,합격
CELL-00074,2026-03-05 19:48,A라인,주간,3.714,4989.0,20.24,11.339,66.73,66.4,26.3,31.0,김수현,합격
CELL-00075,2026-03-05 19:56,B라인,주간,3.655,4861.9,22.33,11.199,70.63,76.2,24.5,25.2,김수현,합격
CELL-00076,2026-03-05 20:44,B라인,주간,3.661,4994.8,25.99,11.016,70.25,74.5,22.1,41.0,한서린,합격
CELL-00077,2026-03-05 20:53,B라인,주간,3.701,4765.9,30.02,10.971,69.93,70.5,27.9,57.5,이하영,불합격
CELL-00078,2026-03-05 21:12,A라인,야간,3.666,4869.4,24.63,10.647,70.35,70.3,23.7,14.8,김수현,합격
CELL-00079,2026-03-05 21:37,C라인,주간,3.719,4744.3,21.43,11.366,68.31,65.8,25.1,60.5,정우석,합격
CELL-00080,2026-03-05 22:26,A라인,주간,3.639,5032.2,20.47,11.055,71.09,73.9,24.5,23.8,정우석,합격
CELL-00081,2026-03-05 23:48,A라인,주간,3.681,4964.3,22.55,11.211,70.65,59.3,24.0,50.8,김수현,합격
CELL-00082,2026-03-06 01:53,B라인,야간,3.679,4863.2,23.72,11.109,70.01,70.4,20.8,52.7,한서린,합격
CELL-00083,2026-03-06 03:58,B라인,주간,3.657,4800.7,20.96,10.965,69.59,81.1,25.9,39.9,한서린,합격
CELL-00084,2026-03-06 04:38,B라인,주간,3.623,4914.8,25.34,11.121,69.27,78.6,24.9,46.6,한서린,합격
CELL-00085,2026-03-06 04:39,B라인,주간,3.721,4939.4,19.77,10.982,70.4,84.8,25.1,54.5,이하영,합격
CELL-00086,2026-03-06 06:49,A라인,주간,3.733,4921.2,24.91,11.071,71.25,83.5,28.5,50.6,정우석,불합격
CELL-00087,2026-03-06 08:34,C라인,주간,3.687,4886.6,20.23,10.977,71.24,69.5,27.6,47.7,이하영,합격
CELL-00088,2026-03-06 09:33,A라인,주간,3.708,4730.4,25.18,11.086,70.64,75.9,25.7,55.1,김수현,불합격
CELL-00089,2026-03-06 13:07,A라인,야간,3.611,4822.1,18.31,11.238,70.83,68.0,21.1,58.0,한서린,합격
CELL-00090,2026-03-06 14:37,A라인,주간,3.652,4927.5,26.05,11.075,70.39,72.2,23.5,53.4,이하영,합격
CELL-00091,2026-03-06 14:59,B라인,주간,3.737,4886.2,19.8,11.094,70.38,69.1,26.0,31.7,한서린,합격
CELL-00092,2026-03-06 15:54,C라인,야간,3.691,5097.8,20.4,10.78,70.63,75.5,26.1,45.2,이하영,합격
CELL-00093,2026-03-06 16:14,B라인,야간,3.628,4985.3,23.63,11.462,68.99,69.6,22.1,,박정민,합격
