log_id,recorded_at,warehouse,zone,temp_main_C,temp_return_C,humidity_pct,door_open_sec,compressor_hz,defrost_min,power_kw,disposal
CL01480,2026-07-11 12:07,B,냉동1,-18.22,-16.2,88.2,12.0,45.2,0.0,3.403,정상
CL02413,2026-08-06 10:01,A,냉동3,-18.22,-15.06,84.5,51.0,47.6,0.0,3.75,정상
CL01811,2026-07-21 03:40,B,냉동1,-18.1,-16.01,86.2,15.0,46.7,16.1,4.083,정상
CL00468,2026-06-13 18:31,B,냉동1,-15.41,-14.18,99.1,301.0,57.9,17.2,5.144,폐기
CL02851,2026-08-18 12:35,C,냉동3,-17.58,-14.85,80.8,20.0,43.5,0.0,3.152,정상
CL00036,2026-06-01 22:27,A,냉동1,-17.41,-14.76,86.4,13.0,47.2,20.4,4.015,정상
CL01406,2026-07-09 13:45,B,냉동3,-17.51,-15.12,85.8,57.0,51.7,0.0,3.242,정상
CL00371,2026-06-11 07:17,C,냉동3,-18.62,-15.95,77.9,11.0,42.8,0.0,3.243,정상
CL00787,2026-06-22 16:27,C,냉동2,-17.93,-15.11,90.1,27.0,40.6,0.0,3.529,정상
CL01962,2026-07-25 03:09,C,냉동1,-18.31,-15.58,84.2,25.0,52.3,0.0,3.689,정상
CL03136,2026-08-26 14:23,C,냉동1,-18.17,-16.18,83.8,59.0,45.6,0.0,3.58,정상
CL02448,2026-08-07 09:43,A,냉동3,-18.02,-14.45,85.8,41.0,44.3,0.0,2.9,정상
CL00719,2026-06-20 20:18,A,냉동2,-18.67,-16.03,84.9,5.0,42.4,0.0,2.825,정상
CL02625,2026-08-12 10:07,A,냉동2,-17.89,-15.31,88.6,37.0,42.8,0.0,3.277,정상
CL02577,2026-08-11 03:41,A,냉동1,-16.96,-13.43,87.3,33.0,48.4,22.4,4.16,정상
CL00955,2026-06-27 08:23,A,냉동2,-17.09,-14.55,87.1,37.0,50.4,0.0,4.118,정상
CL01515,2026-07-12 12:41,C,냉동2,-18.27,-14.71,79.9,33.0,47.9,0.0,3.236,정상
CL03144,2026-08-26 21:08,C,냉동2,-18.54,-16.57,88.9,7.0,40.0,0.0,3.086,정상
CL02588,2026-08-11 09:07,B,냉동2,-16.97,-14.5,81.0,91.0,50.8,0.0,3.606,정상
CL00314,2026-06-09 19:20,B,냉동3,-17.89,-15.17,88.0,95.0,42.3,0.0,3.447,정상
CL00512,2026-06-15 05:09,C,냉동2,-18.55,-16.01,88.6,14.0,51.2,0.0,4.439,정상
CL01749,2026-07-19 10:55,A,냉동2,-17.68,-15.94,87.2,49.0,46.4,0.0,3.636,정상
CL01625,2026-07-15 14:30,B,냉동1,-15.65,-13.22,82.9,39.0,58.3,0.0,4.019,정상
CL02080,2026-07-28 02:27,A,냉동1,-17.88,-14.37,84.7,11.0,45.4,0.0,3.898,정상
CL01201,2026-07-03 14:05,B,냉동3,-18.27,-15.35,81.0,67.0,48.8,0.0,3.315,정상
CL01537,2026-07-13 05:48,C,냉동3,-18.16,-15.2,85.9,10.0,43.0,0.0,2.859,정상
CL00794,2026-06-22 21:59,A,냉동3,-17.63,-15.21,93.5,5.0,43.3,0.0,2.876,폐기
CL01494,2026-07-11 21:53,C,냉동2,-18.28,-15.67,76.2,10.0,47.9,0.0,3.969,정상
CL02668,2026-08-13 13:14,A,냉동1,-17.75,-15.27,90.8,105.0,47.9,0.0,3.936,정상
CL03388,2026-09-02 15:47,C,냉동1,-17.05,-14.82,87.6,138.0,51.7,0.0,4.196,정상
CL03030,2026-08-23 15:21,A,냉동2,-17.44,-14.61,85.8,163.0,46.0,0.0,3.709,정상
CL00304,2026-06-09 11:14,C,냉동3,-18.54,-16.45,85.5,20.0,43.5,0.0,3.331,정상
CL00875,2026-06-25 06:42,A,냉동2,-17.34,-14.77,85.2,6.0,48.8,0.0,3.844,정상
CL00315,2026-06-09 19:36,A,냉동2,-17.54,-14.77,79.5,100.0,49.8,24.0,4.665,폐기
CL01673,2026-07-17 05:41,C,냉동3,-17.48,-15.39,82.6,17.0,53.7,0.0,4.63,정상
CL01062,2026-06-30 02:10,A,냉동2,-17.95,-14.61,82.8,9.0,47.4,12.6,3.839,정상
