sensor_060,sensor_104,sensor_511,sensor_022,sensor_029,sensor_130,sensor_211,sensor_164,sensor_125,sensor_161,sensor_317,sensor_122,sensor_126,sensor_027,sensor_248,sensor_034,sensor_181,sensor_123,sensor_160,sensor_080,sensor_131,sensor_065,sensor_023,sensor_015,sensor_115,sensor_134,sensor_552,sensor_057,sensor_201,sensor_461,sensor_064,sensor_059,sensor_077,sensor_184,sensor_469,sensor_127,sensor_512,sensor_066,sensor_551,sensor_091,sensor_039,sensor_167,sensor_033,sensor_069,sensor_574,sensor_041,sensor_544,sensor_543,sensor_032,sensor_563,result
-1.7264,-0.0042,64.6707,-5419.0,64.2333,-0.0473,0.0772,0.09,15.93,967.0,6.2698,15.88,0.8656,1.773,,9.5126,20.95,2.639,1017.0,-0.0083,0.7243,21.7264,2916.5,7.9558,0.0,1000.7263,0.78,0.9317,10.3,29.9394,16.1445,4.7057,-0.0206,16.713,311.6377,3.353,0.0,29.5367,12.93,8671.9301,86.9555,2.0,83.3971,148.6009,0.3157,61.29,0.0078,0.1096,3.5191,,양품
0.8073,-0.0045,141.4365,-5441.5,68.4222,-0.0946,0.0566,0.112,15.88,59.0,5.6522,15.88,0.8703,2.0143,,9.7997,17.99,2.541,568.0,-0.0358,0.8122,19.1927,2604.25,10.1548,0.0,998.1081,1.33,0.9324,8.02,40.4475,10.9036,4.682,-0.0198,16.358,463.2883,2.771,0.0,27.6301,16.0,8407.0299,87.5241,2.2,84.9052,154.3709,0.2653,78.25,0.0078,0.1096,3.4171,,양품
23.8245,-0.0026,240.7767,-5447.75,67.1333,-0.1892,0.0339,0.187,15.95,788.0,5.7247,15.9,0.8798,2.0295,0.1729,8.659,17.78,2.882,562.0,-0.0054,0.8194,16.1755,2701.75,9.5157,0.0,998.444,0.85,0.9139,16.73,32.3594,11.3019,4.5873,-0.0326,22.912,21.3645,3.094,244.2748,24.2829,16.16,9317.1698,84.7327,2.1,84.7569,145.8,0.1882,14.37,0.0078,0.1096,3.5986,267.064,불량
24.3791,-0.0059,113.5593,-5468.25,62.9333,0.2838,0.1248,0.068,15.59,355.0,5.444,15.55,1.366,2.0038,0.0191,8.6789,16.22,3.132,859.0,0.0676,0.7244,15.6209,2648.25,9.6052,0.0,980.451,39.33,0.9139,13.56,27.6824,13.5597,4.5873,-0.0461,22.562,24.2831,2.48,0.0,23.4736,131.68,8205.7,86.6867,1.7,84.9105,147.6545,0.1738,76.9,0.0078,0.1096,3.3813,268.228,양품
-12.2945,-0.0045,148.0663,-5476.25,62.8333,-0.5677,0.0915,0.147,15.71,283.0,4.8956,15.75,0.946,1.9912,,8.7677,15.24,3.148,699.0,0.0034,0.778,32.2945,2635.25,10.5661,0.0,993.1274,1.98,0.9298,19.77,30.8924,21.9782,4.6414,0.0183,37.715,44.898,3.027,0.0,44.1498,19.63,9014.46,86.1468,3.9,86.3269,146.6636,0.2224,76.39,0.0078,0.1096,3.2728,,양품
28.2955,-0.0052,68.7351,-6058.0,62.3778,-0.0946,0.0645,0.065,15.88,910.0,5.5901,15.88,0.8703,1.7775,0.0217,9.6484,19.7,2.541,2089.0,-0.0026,0.8122,11.7045,2953.75,8.6617,0.0,998.1081,1.65,0.9316,21.78,42.8261,7.618,4.6275,-0.055,35.535,23.3606,2.771,622.2222,18.3685,16.06,7869.7,87.0273,1.7,85.4233,144.6982,0.3201,59.94,0.0078,0.1096,3.52,254.006,양품
2.1109,-0.0042,159.5238,-6154.0,60.8,-0.4731,0.0604,0.078,15.84,643.0,4.9162,15.83,0.8089,1.7715,,9.1502,18.27,2.575,2117.0,-0.0154,0.7589,17.8891,2691.75,9.035,0.0,995.1991,0.87,0.9324,14.05,23.6929,12.74,4.682,-0.0132,15.84,162.4892,2.854,748.3871,26.2754,13.73,9238.3601,86.374,3.0,87.1543,152.3582,0.2027,74.46,0.0078,0.1096,3.4927,,양품
29.1309,-0.0057,79.1209,-5395.5,67.3,0.7096,0.0701,0.161,15.8,346.0,4.8066,15.78,0.7568,1.9893,0.0643,8.7289,13.92,2.27,233.0,0.0002,0.7863,10.8691,2551.75,13.6872,0.0,992.8298,0.76,0.9316,12.63,8.9488,5.5936,4.6275,-0.0594,37.242,16.2027,2.645,0.0,15.3094,15.97,9117.3699,86.7493,1.9,83.8887,144.3255,0.354,78.09,0.0078,0.1096,3.4588,265.09,양품
26.9791,-0.0048,138.5827,-4196.5,62.8,0.7096,0.0418,0.912,15.8,2900.0,4.3824,15.78,0.7568,1.323,0.0306,9.6234,12.48,2.27,5781.0,-0.0047,0.7863,13.0209,2059.5,12.6837,0.0,992.8298,1.36,0.9316,16.32,37.6287,8.8612,4.6275,-0.0523,31.969,18.8665,2.645,395.2941,19.9475,17.54,8615.27,86.9476,2.4,85.4274,144.5455,0.3168,61.1,0.0078,0.1096,3.5067,265.184,양품
28.3118,-0.0073,86.0068,-5357.5,67.0333,0.7096,0.0923,0.076,15.8,882.0,4.9838,15.78,0.7568,1.778,0.0368,8.7289,14.9,2.27,862.0,0.0102,0.7863,11.6882,2872.5,12.4278,0.0,992.8298,1.11,0.9316,5.58,22.155,6.8983,4.6275,-0.0506,36.258,21.8283,2.645,0.0,18.1525,15.15,9126.72,86.7493,2.5,83.8887,147.1409,0.1676,78.09,0.0078,0.1096,3.5207,265.206,양품
