sensor_060,sensor_104,sensor_511,sensor_022,sensor_029,sensor_130,sensor_211,sensor_164,sensor_125,sensor_161,sensor_317,sensor_122,sensor_126,sensor_027,sensor_248,sensor_034,sensor_181,sensor_123,sensor_160,sensor_080,result
-1.7264,-0.0042,64.6707,-5419.0,64.2333,-0.0473,0.0772,0.09,15.93,967.0,6.2698,15.88,0.8656,1.773,,9.5126,20.95,2.639,1017.0,-0.0083,양품
0.8073,-0.0045,141.4365,-5441.5,68.4222,-0.0946,0.0566,0.112,15.88,59.0,5.6522,15.88,0.8703,2.0143,,9.7997,17.99,2.541,568.0,-0.0358,양품
23.8245,-0.0026,240.7767,-5447.75,67.1333,-0.1892,0.0339,0.187,15.95,788.0,5.7247,15.9,0.8798,2.0295,0.1729,8.659,17.78,2.882,562.0,-0.0054,불량
24.3791,-0.0059,113.5593,-5468.25,62.9333,0.2838,0.1248,0.068,15.59,355.0,5.444,15.55,1.366,2.0038,0.0191,8.6789,16.22,3.132,859.0,0.0676,양품
-12.2945,-0.0045,148.0663,-5476.25,62.8333,-0.5677,0.0915,0.147,15.71,283.0,4.8956,15.75,0.946,1.9912,,8.7677,15.24,3.148,699.0,0.0034,양품
28.2955,-0.0052,68.7351,-6058.0,62.3778,-0.0946,0.0645,0.065,15.88,910.0,5.5901,15.88,0.8703,1.7775,0.0217,9.6484,19.7,2.541,2089.0,-0.0026,양품
2.1109,-0.0042,159.5238,-6154.0,60.8,-0.4731,0.0604,0.078,15.84,643.0,4.9162,15.83,0.8089,1.7715,,9.1502,18.27,2.575,2117.0,-0.0154,양품
29.1309,-0.0057,79.1209,-5395.5,67.3,0.7096,0.0701,0.161,15.8,346.0,4.8066,15.78,0.7568,1.9893,0.0643,8.7289,13.92,2.27,233.0,0.0002,양품
26.9791,-0.0048,138.5827,-4196.5,62.8,0.7096,0.0418,0.912,15.8,2900.0,4.3824,15.78,0.7568,1.323,0.0306,9.6234,12.48,2.27,5781.0,-0.0047,양품
28.3118,-0.0073,86.0068,-5357.5,67.0333,0.7096,0.0923,0.076,15.8,882.0,4.9838,15.78,0.7568,1.778,0.0368,8.7289,14.9,2.27,862.0,0.0102,양품
27.8373,-0.0056,87.1111,-2727.5,68.7111,-0.5677,0.0644,0.921,15.71,2942.0,5.2778,15.75,0.946,0.8847,0.058,8.659,16.15,3.148,5655.0,-0.0002,불량
25.0836,-0.0059,67.9406,-6097.75,64.7667,-0.5677,0.137,0.072,15.86,597.0,4.6853,15.88,0.9082,1.7695,0.0458,9.6234,15.08,2.661,2352.0,0.0035,불량
22.6227,-0.0075,94.8247,-5521.25,63.3778,-0.4731,0.0613,0.082,15.84,302.0,5.2108,15.83,0.8089,2.0107,0.0317,8.6789,16.06,2.575,971.0,0.004,양품
-1.1927,-0.0047,55.0265,-6069.75,67.9889,0.0,0.1587,0.078,15.8,648.0,6.4674,15.77,0.8467,1.7822,,8.7977,21.3,3.038,2413.0,0.0298,양품
17.6382,-0.0041,125.5385,-1431.5,62.5,0.0,0.1363,0.931,15.8,2478.0,4.9515,15.77,0.8467,0.439,0.1785,9.2007,18.54,3.038,5726.0,0.0573,불량
20.4209,-0.0031,263.4538,-2694.75,61.2333,-0.0473,0.1572,0.942,15.82,3530.0,4.9296,15.85,0.8987,0.8882,0.0706,9.2007,14.57,3.263,5803.0,0.0643,양품
-8.1182,-0.0071,68.5315,-5757.25,63.3556,-0.0473,0.0443,0.125,15.82,199.0,6.5511,15.85,0.8987,2.0055,,9.1283,20.32,3.263,601.0,-0.0353,양품
-5.5327,-0.0066,89.7338,-5612.5,60.2444,-0.0473,0.0545,0.032,15.82,346.0,5.8924,15.85,0.8987,1.7835,,8.5762,19.18,3.263,1653.0,-0.0423,양품
0.4836,-0.0052,102.9126,-5575.25,66.2,-0.4258,0.0622,0.109,15.84,644.0,6.8608,15.87,1.045,1.9803,,8.6397,22.15,3.15,1036.0,-0.0156,양품
22.4736,-0.0016,349.2063,-5469.25,65.0778,-0.4258,0.156,0.165,15.84,380.0,5.2005,15.87,1.045,2.0157,0.0283,8.6789,16.24,3.15,906.0,0.0673,양품
3.97,-0.0051,87.8049,-5441.0,67.2,-0.4258,0.0955,0.08,15.84,339.0,7.2532,15.87,1.045,1.97,,8.6572,22.23,3.15,227.0,0.0308,양품
0.12,-0.0092,64.3929,-5434.0,65.1667,-0.4258,0.0954,0.13,15.84,429.0,6.7289,15.87,1.045,2.0095,,8.6397,21.52,3.15,1001.0,0.0042,양품
-3.6564,-0.0072,42.9066,-5310.25,66.3556,0.0473,0.1077,0.087,15.88,385.0,6.6914,15.86,1.087,1.9715,,8.6397,21.56,3.361,668.0,0.0498,양품
18.3936,-0.0108,60.1156,-2664.25,62.5,-0.4731,0.1312,0.915,16.03,3623.0,5.1588,15.96,0.9838,0.8915,0.2587,9.2007,19.27,3.034,5665.0,0.0405,불량
15.3536,-0.0076,60.3279,-2681.75,64.6778,0.0946,0.1883,0.89,15.7,3130.0,5.7899,15.73,0.7285,0.8862,0.0225,8.7487,18.48,1.877,5366.0,0.0602,양품
2.9964,-0.0071,65.8494,-2706.0,67.0333,-0.615,0.0403,0.95,16.01,3301.0,5.196,15.98,0.9365,0.8895,,8.6942,14.56,3.421,5913.0,0.0064,양품
-6.9155,-0.0062,48.0962,-5611.75,68.0333,-0.615,0.0488,0.148,16.01,647.0,5.45,15.98,0.9365,2.0137,,9.7997,17.88,3.421,542.0,0.0055,양품
17.3873,-0.0078,69.6774,-5369.0,62.8889,-0.0473,0.1627,0.088,16.05,420.0,4.4239,15.98,0.9554,2.0017,0.0332,8.9336,14.36,3.759,455.0,0.0615,양품
13.1136,-0.0087,60.6581,-5217.5,66.1667,-0.615,0.1782,0.084,16.01,812.0,4.1865,15.98,0.9365,1.802,0.0597,8.8388,13.94,3.421,724.0,0.0775,양품
14.7073,-0.0112,51.8436,-5416.0,65.6333,-0.0473,0.1696,0.16,15.93,603.0,6.2102,15.93,0.6055,1.9817,0.0635,8.7588,20.91,2.647,252.0,0.0602,양품
29.5109,-0.0098,49.1677,-5500.5,68.6444,-0.0473,0.1818,0.089,16.05,406.0,4.6253,15.98,0.9554,1.9888,0.0292,23.3453,15.28,3.759,535.0,0.0729,양품
13.1482,-0.0093,59.4595,-5497.75,65.3667,-0.615,0.1694,0.159,16.01,261.0,5.8491,15.98,0.9365,1.9773,0.1551,8.8033,18.81,3.421,310.0,0.079,양품
-3.3864,-0.0087,67.6218,-5507.75,62.6667,0.0946,0.1038,0.036,15.87,396.0,5.3701,15.89,0.3122,1.9745,,9.1283,15.54,2.322,671.0,0.032,양품
4.4036,-0.0084,37.9822,-2622.5,65.4556,0.0946,0.0851,0.918,15.87,3511.0,4.6444,15.89,0.3122,0.8912,,8.8249,14.57,2.322,5575.0,0.0567,양품
17.5473,-0.0093,78.7062,-6010.25,66.8889,-0.0473,0.1412,0.06,15.93,560.0,4.6263,15.93,0.6055,1.7778,0.0974,8.9336,14.83,2.647,2058.0,0.0543,양품
-10.1245,-0.006,95.0,-5548.0,66.4778,0.0946,0.1033,0.081,15.87,118.0,4.5125,15.89,0.3122,2.0092,,10.0686,15.31,2.322,531.0,0.0122,양품
13.9782,-0.0091,75.513,-1362.0,65.2667,-0.0473,0.1515,0.896,15.93,2841.0,4.5344,15.93,0.6055,0.4407,0.0231,8.7588,15.56,2.647,5448.0,0.0688,양품
13.4891,-0.0087,57.2246,-5452.75,65.2222,-0.0473,0.1618,0.067,15.93,244.0,5.9735,15.93,0.6055,1.9728,0.0306,8.7588,19.74,2.647,617.0,0.0536,양품
24.9027,-0.0033,172.0755,-5493.75,68.3222,-0.0473,0.1423,0.095,15.93,259.0,4.0902,15.93,0.6055,2.0135,0.0267,8.659,14.17,2.647,73.0,0.0549,불량
23.4736,-0.0093,40.7507,-5525.5,70.5111,-1.108,0.0938,0.151,15.96,484.0,5.4109,15.98,1.483,2.0092,0.0268,23.3453,13.98,3.207,168.0,0.0024,양품
15.1509,-0.0085,75.2941,-5085.25,63.5111,-0.0473,0.1431,0.173,15.93,4170.0,4.1708,15.93,0.6055,1.9875,0.07,9.1585,13.94,2.647,1848.0,0.0593,불량
-2.6636,-0.0077,21.9709,-5626.25,64.1778,0.0946,0.0475,0.104,15.87,179.0,5.8979,15.89,0.3122,1.987,,8.6074,22.25,2.322,72.0,-0.0084,양품
-2.4636,-0.0082,70.5167,-6033.25,62.2889,0.0946,0.058,0.057,15.87,214.0,4.9579,15.89,0.3122,1.97,,9.1502,14.82,2.322,2867.0,-0.0059,양품
19.3136,-0.0088,42.1053,-5415.75,69.0,-1.204,0.1738,0.115,16.1,163.0,4.2384,15.93,1.252,2.0063,0.0346,10.6376,13.35,3.861,723.0,0.0665,양품
8.3045,-0.0068,76.8946,-4731.0,60.8444,-0.4258,0.0732,0.926,15.83,3309.0,5.5408,15.82,1.125,1.3322,0.0375,9.1585,18.05,3.2,7569.0,0.0103,양품
5.03,-0.0056,113.0045,-5546.5,69.0667,-0.4258,0.056,0.068,15.83,190.0,5.3607,15.82,1.125,1.9992,0.2139,10.6376,18.38,3.2,299.0,0.015,불량
12.0945,-0.0071,41.0619,-3281.0,63.1333,0.0946,0.0633,0.901,15.9,3290.0,5.1749,15.87,1.021,0.8885,0.1467,8.7487,17.38,3.628,7600.0,0.0155,양품
23.1373,-0.008,42.7002,-4667.25,61.8667,0.0946,0.0871,0.947,15.9,3417.0,4.9516,15.87,1.021,1.3305,0.0221,9.2007,17.25,3.628,7653.0,0.0253,양품
25.0382,-0.0091,96.9697,-5300.25,69.0667,-1.108,0.0806,0.208,15.96,547.0,4.7265,15.98,1.483,2.0105,0.1918,23.3453,17.48,3.207,109.0,0.0266,불량
23.3109,-0.0078,18.0064,-5553.0,69.5556,-0.4258,0.0843,0.103,15.83,169.0,5.1077,15.82,1.125,2.0433,0.0421,8.7495,17.35,3.2,760.0,0.0073,불량
23.9555,-0.0094,49.0667,-5394.0,68.3556,-0.4258,0.0442,0.145,15.83,368.0,5.5385,15.82,1.125,2.0032,0.0244,23.3453,20.02,3.2,157.0,0.0148,불량
21.39,-0.007,90.4847,-2575.5,64.4222,-0.1419,0.0932,0.891,15.82,3294.0,4.665,15.82,0.9933,0.892,0.0354,8.7487,13.41,3.434,5391.0,0.0269,양품
1.5882,-0.0075,67.8869,-5175.5,67.2667,-0.1419,0.0597,0.163,15.82,207.0,5.5737,15.82,0.9933,2.0,0.2956,10.6376,19.17,3.434,785.0,0.0159,양품
0.6782,-0.0078,50.0803,-5545.0,64.0778,0.0946,0.0569,0.125,15.9,264.0,4.3439,15.87,1.021,1.9772,,8.8249,12.51,3.628,444.0,-0.0085,양품
20.0455,-0.007,200.7117,-4520.75,62.3667,0.0946,0.064,0.906,15.9,3278.0,5.3269,15.87,1.021,1.3458,0.1959,9.1784,16.84,3.628,7657.0,0.0083,양품
21.8964,-0.0087,33.1903,-5683.75,64.7111,0.0946,0.0701,0.1,15.9,618.0,5.4366,15.87,1.021,1.9597,0.0583,9.1784,18.02,3.628,540.0,0.0187,양품
22.8809,-0.0037,111.9454,-5460.5,70.0889,0.0473,0.1543,0.074,15.81,174.0,5.6503,15.78,1.021,2.031,0.0503,8.7599,16.39,3.584,682.0,0.0817,양품
2.5209,-0.0055,101.1287,-1368.75,63.4,-0.1419,0.0648,0.901,15.82,2615.0,5.1458,15.82,0.9933,0.4425,0.0267,8.7487,17.56,3.434,5475.0,0.0122,불량
15.9527,-0.0101,31.6049,-4490.5,63.6,-0.615,0.1326,0.894,15.71,3253.0,6.4035,15.78,1.05,1.3438,0.0297,9.1784,20.7,3.564,7709.0,0.0796,불량
-1.6545,-0.0066,80.0,-5433.25,66.7222,0.1892,0.1558,0.141,15.72,357.0,5.5012,15.73,0.8467,2.0187,,9.7997,17.59,2.96,817.0,0.0119,양품
6.7391,-0.0038,102.6316,-5493.75,68.0222,0.0,0.1509,0.103,15.68,387.0,6.0092,15.72,0.8703,1.9828,0.0385,10.6376,22.05,3.327,571.0,0.0803,양품
13.8118,-0.0033,218.1818,-2597.0,63.9778,0.0473,0.1613,0.899,15.73,3184.0,4.3153,15.74,0.9034,0.891,0.1661,8.7588,13.6,3.133,5477.0,0.0713,양품
18.3209,-0.0057,66.5208,-5507.5,68.0,0.0473,0.1848,0.082,15.73,265.0,5.115,15.74,0.9034,1.9905,0.0818,8.7599,15.71,3.133,662.0,0.057,불량
16.4582,-0.0057,87.7193,-5667.5,63.5778,0.3311,0.1703,0.088,15.76,528.0,5.2632,15.71,0.9365,2.012,0.0165,9.2405,16.9,3.478,1213.0,0.0646,양품
9.05,-0.0057,74.7826,-5501.75,68.1222,0.0,0.0672,0.138,15.78,768.0,4.4627,15.81,1.21,2.0062,0.1343,8.7495,13.52,3.566,599.0,0.0049,불량
18.8309,-0.0064,54.5809,-5382.5,67.8444,0.0,0.0644,0.094,15.83,457.0,5.9995,15.82,0.9649,2.01,0.0221,8.7495,16.23,3.448,984.0,0.0248,양품
18.2809,-0.0053,89.9297,-5659.25,65.1667,0.0,0.0476,0.149,15.83,458.0,4.5431,15.82,0.9649,2.0077,0.0275,8.6324,14.84,3.448,148.0,0.0264,양품
19.8,-0.0074,53.6913,-5349.0,61.6222,0.0,0.052,0.107,15.83,411.0,5.3492,15.82,0.9649,1.9663,0.0457,9.2658,15.62,3.448,489.0,0.0193,양품
11.6818,-0.007,68.8172,-5597.0,65.6333,0.0,0.2135,0.079,15.83,317.0,4.3109,15.82,0.9649,1.9752,0.0251,8.8033,14.41,3.448,548.0,0.0964,양품
22.4345,-0.0054,102.3256,-5440.5,68.3444,0.0,0.1816,0.108,15.83,140.0,4.9353,15.82,0.9649,2.0045,0.0947,8.7599,13.84,3.448,833.0,0.0958,양품
17.1627,-0.007,54.5781,-5614.25,68.3,0.0,0.0481,0.177,15.83,656.0,4.6734,15.82,0.9649,1.9745,0.0489,9.6272,15.3,3.448,594.0,0.0089,양품
25.4573,-0.0046,111.4754,-5534.5,70.7667,-0.3311,0.1203,0.14,15.74,218.0,4.7397,15.73,1.031,2.018,0.0439,8.7599,15.88,3.776,308.0,0.048,양품
20.5509,-0.0031,174.8988,-2649.25,63.3444,0.0473,0.0678,0.913,15.83,3287.0,4.9899,15.78,0.9933,0.8882,0.0545,8.7487,15.49,3.62,5684.0,0.0041,양품
18.6827,-0.0078,51.4469,-5554.25,65.4667,-0.3311,0.1816,0.086,15.74,423.0,5.7303,15.73,1.031,2.021,0.0398,8.8388,19.23,3.776,268.0,0.1013,양품
25.4427,-0.0055,76.0181,-6566.0,65.2889,0.8042,0.0758,0.113,15.87,653.0,4.0636,15.88,0.7947,1.8762,0.2188,9.094,10.9,2.438,663.0,-0.0015,양품
